college,cohort_year,analysis_included,complete_case,cohort_size,log_cohort_size,course_success,avg_successful_units,persistence,completed_30_units,math_english,transfer_4yr
Madera College,20-21,True,False,1002.0,6.910750787961936,0.68967,8.57784,0.48004,0.0489,0.07385,nan
Mendocino College,20-21,True,False,600.0,6.398594934535208,0.70366,14.61333,0.59,0.17833,0.12333,nan
Merced College,20-21,True,False,2433.0,7.797291273547472,0.61666,13.58282,0.66379,0.15372,0.14961,nan
Merritt College,20-21,True,False,770.0,6.647688373563329,0.64201,7.46494,0.44286,0.02338,0.11169,nan
MiraCosta College,20-21,True,False,2731.0,7.912789220690681,0.82284,14.93775,0.68034,0.16624,0.16917,nan
Mission College,20-21,True,False,1221.0,7.108244139731541,0.73555,12.98198,0.61916,0.13432,0.17772,nan
Modesto Junior College,20-21,True,False,4667.0,8.448485993406447,0.75753,12.8889,0.65974,0.13263,0.07392,nan
Monterey Peninsula College,20-21,True,False,1300.0,7.170888478512505,0.72696,13.32154,0.61154,0.14,0.15538,nan
Moorpark College,20-21,True,False,3263.0,8.090708716083997,0.76715,17.6163,0.73429,0.2415,0.26325,nan
Moreno Valley College,20-21,True,False,1802.0,7.497207223203318,0.6051,11.89359,0.54384,0.13097,0.07381,nan
Mt. San Antonio College,20-21,True,False,5448.0,8.603187384583098,0.79432,14.81021,0.68649,0.18741,0.18209,nan
Mt. San Jacinto College,20-21,True,False,3431.0,8.140898460607852,0.69331,14.15855,0.68231,0.13087,0.27048,nan
Napa Valley College,20-21,True,False,1114.0,7.016609683894219,0.65739,13.28546,0.67953,0.11041,0.22262,nan
Norco College,20-21,True,False,1819.0,7.506591780070841,0.65036,12.40132,0.60913,0.105,0.15393,nan
Ohlone College,20-21,True,False,1668.0,7.419979923661835,0.79757,19.68225,0.73501,0.28777,0.38669,nan
Orange Coast College,20-21,True,False,4160.0,8.333510708982942,0.72362,15.06611,0.76394,0.13654,0.26394,nan
Oxnard College,20-21,True,False,1482.0,7.301822342137932,0.67463,12.11404,0.62686,0.11201,0.18421,nan
Palo Verde College,20-21,True,False,510.0,6.236369590203704,0.72175,8.49755,0.46471,0.03137,nan,nan
Palomar College,20-21,True,False,4648.0,8.444407421690585,0.75917,13.80325,0.67879,0.13683,0.12242,nan
Pasadena City College,20-21,True,False,5164.0,8.549660381553739,0.70936,17.24361,0.689,0.25426,0.30693,nan
Porterville College,20-21,True,False,833.0,6.726233402358747,0.63538,15.11224,0.59424,0.18968,0.14526,nan
Reedley College,20-21,True,False,1612.0,7.385851078125209,0.68116,15.31824,0.67308,0.18548,0.15261,nan
Rio Hondo College,20-21,True,False,3339.0,8.113726085970747,0.70885,11.81144,0.66816,0.09674,0.11231,nan
Riverside City College,20-21,True,False,5131.0,8.543250725735527,0.61859,12.5038,0.62035,0.13915,0.13233,nan
Sacramento City College,20-21,True,False,3814.0,8.246695943718557,0.66021,10.80139,0.58338,0.08574,0.14971,nan
Saddleback College,20-21,True,False,4233.0,8.350902451694811,0.75822,16.66484,0.71391,0.19702,0.25018,nan
San Bernardino Valley College,20-21,True,False,2616.0,7.869783902530146,0.56503,10.32836,0.56193,0.09901,0.12691,nan
San Diego City College,20-21,True,False,2467.0,7.811163385025279,0.6484,7.98865,0.52898,0.02392,0.13701,nan
San Diego Mesa College,20-21,True,False,3451.0,8.146709052203319,0.72146,11.71327,0.66155,0.07331,0.20574,nan
San Diego Miramar College,20-21,True,False,2340.0,7.75833346749091,0.76395,11.00214,0.65,0.04915,0.21111,nan
San Joaquin Delta College,20-21,True,False,5800.0,8.665785595466064,0.72049,12.18543,0.63828,0.11983,0.06793,nan
San Jose City College,20-21,True,False,1626.0,7.394493107219038,0.68104,9.67312,0.62669,0.0738,0.10701,nan
Santa Ana College,20-21,True,False,2921.0,7.980023592310645,0.63775,12.57807,0.5837,0.15029,0.14139,nan
Santa Barbara City College,20-21,True,False,3033.0,8.017637159908478,0.69545,18.23904,0.73492,0.24102,0.26212,nan
Santa Monica College,20-21,True,False,6009.0,8.701180027529253,0.71643,15.82984,0.71992,0.19587,0.18605,nan
Santa Rosa Junior College,20-21,True,False,3407.0,8.133880887949207,0.68268,13.16209,0.6246,0.12797,0.12151,nan
Santiago Canyon College,20-21,True,False,2788.0,7.933438387627489,0.74694,13.76392,0.63881,0.20624,0.20373,nan
Shasta College,20-21,True,False,1505.0,7.317212408359839,0.66585,19.89435,0.60399,0.25581,0.08638,nan
Sierra College,20-21,True,False,4245.0,8.353732642263202,0.69053,16.20471,0.7053,0.19458,0.24617,nan
Skyline College,20-21,True,False,1340.0,7.201170883281678,0.80499,14.63433,0.66269,0.14851,0.27313,nan
Solano Community College,20-21,True,False,2078.0,7.639642287858013,0.70449,14.83951,0.64004,0.16747,0.20164,nan
Southwestern College,20-21,True,False,3683.0,8.211754397375197,0.67392,13.0353,0.68775,0.10888,0.13956,nan
Taft College,20-21,True,False,690.0,6.53813982376767,0.72459,12.89891,0.55507,0.17246,0.07826,nan
Ventura College,20-21,True,False,2465.0,7.81035268372429,0.72907,15.63124,0.69412,0.18377,0.23773,nan
Victor Valley College,20-21,True,False,2395.0,7.78155595923534,0.64467,14.63382,0.61587,0.15115,0.1499,nan
West Los Angeles College,20-21,True,False,1398.0,7.243512974665482,0.67662,10.87804,0.51788,0.09299,0.08727,nan
West Valley College,20-21,True,False,1566.0,7.356918242356021,0.73876,15.0728,0.66794,0.18327,0.29055,nan
Woodland Community College,20-21,True,False,810.0,6.698268054115413,0.65408,9.74383,0.48395,0.06667,0.1679,nan
Yuba College,20-21,True,False,1226.0,7.112327444710911,0.67478,14.21656,0.61746,0.14356,0.1615,nan
